"YQ4gaf src","GyeGK","vWB2ve","T7nuU","WHxBId","gjvCCd"
"https://lh3.googleusercontent.com/a-/ALV-UjUSkSdYcNo74kKbo490chpQ80LKwWgZpUafSTp2yUc7ryTLbQg=s128-d-cc-rp","Candela Alfaro","Hace 4 meses","...","Esta opinión te resultó útil a ti y a otras 508 personas.","Esta opinión les resultó útil a 508 personas."
"https://lh3.googleusercontent.com/a-/ALV-UjV5BOidHEzLWDpB2K6Qq0T0fuSBSOAWwtrd6jcOB8lqS0vx8Pc=s128-d-cc-rp","lujan nahuelanca","Hace 2 meses","...","Esta opinión te resultó útil a ti y a otras 34 personas.","Esta opinión les resultó útil a 34 personas."
"https://lh3.googleusercontent.com/a/ACg8ocKKpSDkQGbTbAz9T-IfCxEFG5DWrIpZDO0zyw0XF4y32i-w0g=s128-d-cc-rp","daniel de la hoz","Hace 4 meses","...","Esta opinión te resultó útil a ti y a otras 258 personas.","Esta opinión les resultó útil a 258 personas."
"https://lh3.googleusercontent.com/a/ACg8ocLQJ3NIWaRMBq9ArBD4EtC9aaspmM4sRQ4eXsEh8CIuJthK7g=s128-d-cc-rp","Paola Islas","Hace 4 meses","...","Esta opinión te resultó útil a ti y a otras 82 personas.","Esta opinión les resultó útil a 82 personas."
"https://lh3.googleusercontent.com/a/ACg8ocJ7HxfOFvrbgp86BWKzCEqBjNtABrBxLgl0ATh2ZBjnvY6S5g=s128-d-cc-rp","Andrea Blancafort Pujado","Hace 3 meses","...","Esta opinión te resultó útil a ti y a otras 8 personas.","Esta opinión les resultó útil a 8 personas."
"https://lh3.googleusercontent.com/a-/ALV-UjWUwawh6JgVVZCedTXHJimdNftfqTmAjmMwd96vWIaibomKN-M=s128-d-cc-rp","Krista Ruelas","Hace 3 meses","...","Esta opinión te resultó útil a ti y a otras 8 personas.","Esta opinión les resultó útil a 8 personas."
"https://lh3.googleusercontent.com/a/ACg8ocKhiAWyKZzyDn1NsBH5xejUzV9WmKa-iRMnFG6VH-3Cqab58tw=s128-d-cc-rp","Mariana Concha Bernate","Hace 2 meses","...","Esta opinión te resultó útil a ti y a otras 7 personas.","Esta opinión les resultó útil a 7 personas."
"https://lh3.googleusercontent.com/a/ACg8ocJc0F5RQAHXB07lv1lhPx0vgwVRWvX4OmavokN5wx8-rPXtrQ=s128-d-cc-rp","Gustavo Merletti","Hace 5 meses","...","Esta opinión te resultó útil a ti y a otras 172 personas.","Esta opinión les resultó útil a 172 personas."
"https://lh3.googleusercontent.com/a-/ALV-UjX04GLPe8uYQvv5WpHDM60U-2Xw9kiaUlYFhMZVBLPhY4eMjubrwg=s128-d-cc-rp","Gisela Alexandra Medina","Hace 4 meses","...","Esta opinión te resultó útil a ti y a otras 29 personas.","Esta opinión les resultó útil a 29 personas."
"https://lh3.googleusercontent.com/a-/ALV-UjV_QY_39B0jViSmU-mb4lnd2fLEbAkrE_J0mDCVSREVOaqTjpXg=s128-d-cc-rp","Aihzly Zarila","Hace 5 meses","...","Esta opinión te resultó útil a ti y a otras 91 personas.","Esta opinión les resultó útil a 91 personas."
"https://lh3.googleusercontent.com/a-/ALV-UjW0dt58n7yKslbwxoZ__0cs9gIX4qd6W2dA_KPAeQk2PUQEn13S=s128-d-cc-rp","Daniel Aldea","Hace 3 meses","...","Esta opinión les resultó útil a ti y a otra persona.","Esta opinión le resultó útil a 1 persona."
"https://lh3.googleusercontent.com/a/ACg8ocInYVvXCfoe6ZqmK1DINebeiTW4GjBpvTr1s7tsQtvXGCTVeg=s128-d-cc-rp","Benjamin Santamaria","Hace 4 meses","...","Esta opinión te resultó útil a ti y a otras 8 personas.","Esta opinión les resultó útil a 8 personas."
"https://lh3.googleusercontent.com/a-/ALV-UjXy3Bi3x-dWqaCgTG350yQ9oVgPlMcDklFn2E7GD0zjjf3NLS-H=s128-d-cc-rp","Jorge Gonzalez","Hace 2 meses","...","Esta opinión les resultó útil a ti y a otra persona.","Esta opinión le resultó útil a 1 persona."
"https://lh3.googleusercontent.com/a-/ALV-UjW3U3VQksKG9otY1AO3tBz-YDoa_BVl8pUdCPyilTlYaXVerC7U=s128-d-cc-rp","Isabel Belda González","Hace 5 meses","...","Esta opinión te resultó útil a ti y a otras 172 personas.","Esta opinión les resultó útil a 172 personas."
"https://lh3.googleusercontent.com/a/ACg8ocLXpLICTVDF-v_8pz0ka77sS3d97zjhi1e2rZDSB-wX_Q4r7A=s128-d-cc-rp","Papipa Algon","Hace 4 meses","...","Esta opinión te resultó útil a ti y a otras 4 personas.","Esta opinión les resultó útil a 4 personas."
"https://lh3.googleusercontent.com/a/ACg8ocI3hrvrIVW9rQAfqHZiifCZflh3OCk7P4eEG9zM30Z6xzA6z80q=s128-d-cc-rp","Manuel gonzalez perez","Hace 5 meses","...","Esta opinión te resultó útil a ti y a otras 102 personas.","Esta opinión les resultó útil a 102 personas."
"https://lh3.googleusercontent.com/a-/ALV-UjXxuygBD6LLVazm5RTSnAZNV_pVYaglzd4ZSW4xkdBd9HaDyk_IXg=s128-d-cc-rp","Paula Camacho","Hace 5 meses","...","Esta opinión te resultó útil a ti y a otras 28 personas.","Esta opinión les resultó útil a 28 personas."
"https://lh3.googleusercontent.com/a-/ALV-UjVGMRzZkHp-WXvNM98dzytYV3unIIBtDu-CqYT8z-9FWmZRo1ZP=s128-d-cc-rp","Carlos Lazzarino","Hace 5 meses","...","Esta opinión te resultó útil a ti y a otras 44 personas.","Esta opinión les resultó útil a 44 personas."
"https://lh3.googleusercontent.com/a-/ALV-UjXEp3UgdZ0N2u3pkl7d8Q00wVJ2eQ9FtHJiVxdq4JKGAfvwoMaNnA=s128-d-cc-rp","Lizett Velandia","Hace 2 meses","...","Esta opinión les resultó útil a ti y a otra persona.","Esta opinión le resultó útil a 1 persona."
"https://lh3.googleusercontent.com/a-/ALV-UjXMjwwJR7uel1XSPpQYhd-Sg6NdcGwGzu76Cqomdta-FLdxh391=s128-d-cc-rp","Andres Mazzitelli","Hace 4 meses","...","Esta opinión te resultó útil a ti y a otras 25 personas.","Esta opinión les resultó útil a 25 personas."
"https://lh3.googleusercontent.com/a-/ALV-UjWqRCdEi4AZHVbhG9cgakKlVFHfRvtsYJKm-hWJHFYVcoh8XiMLWQ=s128-d-cc-rp","Mercedes Camacho","Hace 3 meses","...","Esta opinión te resultó útil a ti y a otras 3 personas.","Esta opinión les resultó útil a 3 personas."
"https://lh3.googleusercontent.com/a-/ALV-UjWtN_16CnT74KXa_96YAwSGZq_SESkItETwwsmoHjVEPQ0CR0FI=s128-d-cc-rp","Karen A Ramirez","Hace 4 meses","...","Esta opinión te resultó útil a ti y a otras 4 personas.","Esta opinión les resultó útil a 4 personas."
"https://lh3.googleusercontent.com/a-/ALV-UjWdApIdSskEk5Ov3G97urK3KOMyU_t4bUQsKNUIwyMB6cbbue1MIQ=s128-d-cc-rp","Ale Escalante","Hace 4 meses","...","Esta opinión te resultó útil a ti y a otras 6 personas.","Esta opinión les resultó útil a 6 personas."
"https://lh3.googleusercontent.com/a/ACg8ocISbngUXjb8QflF6WmuYk0M-SCNVb1pY9KUtSo2xybvsWNP8g=s128-d-cc-rp","Mina Arges","Hace 3 meses","...","Esta opinión te resultó útil a ti y a otras 2 personas.","Esta opinión les resultó útil a 2 personas."
"https://lh3.googleusercontent.com/a-/ALV-UjWCkthHvWbd5oDQQ_Q_m2XgHNBFmjDSkW0dHQzIk7WO6OPGVCFJ=s128-d-cc-rp","Drone Maiden videos","Hace 5 meses","...","Esta opinión te resultó útil a ti y a otras 64 personas.","Esta opinión les resultó útil a 64 personas."
"https://lh3.googleusercontent.com/a-/ALV-UjVg3t35VJeDBF3knZcM3Hf-HWr887Dig-QF26NmJyk7gQQ-8WKR=s128-d-cc-rp","Alfonso Apy","Hace 4 meses","...","Esta opinión te resultó útil a ti y a otras 20 personas.","Esta opinión les resultó útil a 20 personas."
"https://lh3.googleusercontent.com/a-/ALV-UjXxLrvatM9XHHCURPB8T2afQeDa6Zq_wIERfFzlJ7zmhCIVH2Zg=s128-d-cc-rp","Susana Buendia","Hace 4 meses","...","Esta opinión te resultó útil a ti y a otras 5 personas.","Esta opinión les resultó útil a 5 personas."
"https://lh3.googleusercontent.com/a-/ALV-UjWGNLjSPO3GASNa5g2THmVEc-hTAAMZV7qislVqRyywRqGZBbE=s128-d-cc-rp","Manuel Rica","Hace 4 meses","...","Esta opinión te resultó útil a ti y a otras 15 personas.","Esta opinión les resultó útil a 15 personas."
"https://lh3.googleusercontent.com/a/ACg8ocI_6jCTkfAPqMFXVXtb_ei47_vJjo2amDI7ChO4MubN3cpfpA=s128-d-cc-rp","Javier Cortés","Hace 5 meses","...","Esta opinión te resultó útil a ti y a otras 30 personas.","Esta opinión les resultó útil a 30 personas."
"https://lh3.googleusercontent.com/a-/ALV-UjX8sTnXLbAhuRLwNdAEFNgDEH3emt_71HmxRLwC5I4XdTg3b08p=s128-d-cc-rp","Korayma Flores Torre","Hace 2 meses","Sin duda, una película para admirar.
Es tan interesante emocionalmente, no me pide despegar ni un segundo.
Interpretaron de manera perfecta lo sucedido en esa época, la empatía de los mismos actores al interpretar a cada persona, el maquillaje, los efectos. Realmente es digna de aplaudir.
Me encantó como el director se tomó el tiempo de hacer una película que retrate cada hecho y sobretodo que lo hago desde el punto del amor al prójimo, la empatía y el amor entre amigos.","Esta opinión les resultó útil a ti y a otra persona.","Esta opinión le resultó útil a 1 persona."
